,usdinr,india_cpi,india_unemployment,us_unemployment,us_cpi,us_ir
2017-01-31 00:00:00,67.865,130.3,,4.7,243.618,
2017-02-28 00:00:00,66.69,130.6,,4.6,244.006,
2017-03-31 00:00:00,64.85,130.9,,4.4,243.892,
2017-04-30 00:00:00,64.245,131.1,,4.4,244.193,
2017-05-31 00:00:00,64.5112,131.4,4.03,4.4,244.004,
2017-06-30 00:00:00,64.5788,132,4.12,4.3,244.163,
2017-07-31 00:00:00,64.1875,134.2,3.37,4.3,244.243,1.15
2017-08-31 00:00:00,63.9063,135.4,4.07,4.4,245.183,1.16
2017-09-30 00:00:00,65.2762,135.2,4.63,4.3,246.435,1.15
2017-10-31 00:00:00,64.7462,136.1,5,4.2,246.626,1.15
2017-11-30 00:00:00,64.4588,137.6,4.72,4.2,247.284,1.16
2017-12-31 00:00:00,63.8713,137.2,4.74,4.1,247.805,1.3
2018-01-31 00:00:00,63.5863,136.9,5.01,4,248.859,1.41
2018-02-28 00:00:00,65.1775,136.4,5.87,4.1,249.529,1.42
2018-03-31 00:00:00,65.1775,136.5,6,4,249.577,1.51
2018-04-30 00:00:00,66.6613,137.1,5.57,4,250.227,1.69
2018-05-31 00:00:00,67.3963,137.8,5.14,3.8,250.792,1.7
2018-06-30 00:00:00,68.47,138.5,5.75,4,251.018,1.82
2018-07-31 00:00:00,68.5475,139.8,5.66,3.8,251.214,1.91
2018-08-31 00:00:00,70.9962,140.4,6.27,3.8,251.663,1.91
2018-09-30 00:00:00,72.49,140.2,6.47,3.7,252.182,1.95
2018-10-31 00:00:00,73.955,140.7,6.83,3.8,252.772,2.19
2018-11-30 00:00:00,69.5837,140.8,6.65,3.8,252.594,2.2
2018-12-31 00:00:00,69.7712,140.1,7.02,3.9,252.767,2.27
2019-01-31 00:00:00,71.085,139.6,6.86,4,252.561,2.4
2019-02-28 00:00:00,70.745,139.9,7.2,3.8,253.319,2.4
2019-03-31 00:00:00,69.1488,140.4,6.65,3.8,254.277,2.41
2019-04-30 00:00:00,69.5563,141.2,7.35,3.7,255.233,2.42
2019-05-31 00:00:00,69.6975,142,7.03,3.6,255.296,2.39
2019-06-30 00:00:00,69.0275,142.9,7.87,3.6,255.213,2.38
2019-07-31 00:00:00,68.8,144.2,7.34,3.7,255.802,2.4
2019-08-31 00:00:00,71.405,145,8.19,3.6,256.036,2.13
2019-09-30 00:00:00,70.8675,145.8,7.14,3.5,256.43,2.04
2019-10-31 00:00:00,70.9275,147.2,8.1,3.6,257.155,1.83
2019-11-30 00:00:00,71.7375,148.6,7.23,3.6,257.879,1.55
2019-12-31 00:00:00,71.3788,150.4,7.6,3.6,258.63,1.55
2020-01-31 00:00:00,71.3525,150.2,7.22,3.6,259.127,1.55
2020-02-29 00:00:00,72.1763,149.1,7.76,3.5,259.25,1.58
2020-03-31 00:00:00,75.5425,148.6,8.75,4.4,258.076,0.65
2020-04-30 00:00:00,75.1,151.4,23.52,14.8,256.032,0.05
2020-05-31 00:00:00,75.6175,150.9,21.73,13.2,255.802,0.05
2020-06-30 00:00:00,75.5087,151.8,10.18,11,257.042,0.08
2020-07-31 00:00:00,74.8125,153.9,7.4,10.2,258.352,0.09
2020-08-31 00:00:00,73.62,154.7,8.35,8.4,259.316,0.1
2020-09-30 00:00:00,73.7637,156.4,6.68,7.8,259.997,0.09
2020-10-31 00:00:00,74.11,158.4,7.02,6.9,260.319,0.09
2020-11-30 00:00:00,74.04,158.9,6.5,6.7,260.911,0.09
2020-12-31 00:00:00,73.065,157.3,9.06,6.7,262.045,0.09
2021-01-31 00:00:00,72.9538,156.3,6.52,6.4,262.639,0.09
2021-02-28 00:00:00,73.465,156.6,6.89,6.2,263.573,0.08
2021-03-31 00:00:00,73.1125,156.8,6.5,6.1,264.847,0.07
2021-04-30 00:00:00,74.0875,157.8,7.97,6.1,266.625,0.07
2021-05-31 00:00:00,72.615,160.4,11.84,5.8,268.404,0.06
2021-06-30 00:00:00,74.3313,161.3,9.17,5.9,270.71,0.08
2021-07-31 00:00:00,74.4175,162.5,6.96,5.4,271.965,0.1
2021-08-31 00:00:00,73.0063,162.9,8.32,5.1,272.752,0.09
2021-09-30 00:00:00,74.2388,163.2,6.86,4.7,273.942,0.08
2021-10-31 00:00:00,74.8775,165.5,7.74,4.5,276.528,0.08
2021-11-30 00:00:00,75.1687,166.7,6.97,4.2,278.824,0.08
2021-12-31 00:00:00,74.3375,166.2,7.91,3.9,280.806,0.08
2022-01-31 00:00:00,74.6225,165.7,6.56,4,282.542,0.08
2022-02-28 00:00:00,75.3425,166.1,8.11,3.8,284.525,0.08
2022-03-31 00:00:00,75.7862,167.7,7.57,3.7,287.467,0.2
2022-04-30 00:00:00,76.4325,170.1,7.83,3.7,288.582,0.33
2022-05-31 00:00:00,77.6375,171.7,7.14,3.6,291.299,0.77
2022-06-30 00:00:00,78.9725,172.6,7.83,3.6,295.072,1.21
2022-07-31 00:00:00,79.2688,173.4,6.83,3.5,294.94,1.68
2022-08-31 00:00:00,79.46,174.3,8.28,3.6,295.162,2.33
2022-09-30 00:00:00,81.3488,175.3,6.43,3.5,296.421,2.56
2022-10-31 00:00:00,82.785,176.7,7.92,3.6,297.979,3.08
2022-11-30 00:00:00,81.4287,176.5,8.03,3.6,298.708,3.78
2022-12-31 00:00:00,82.735,175.7,8.3,3.5,298.808,4.1
2023-01-31 00:00:00,81.9238,176.5,7.14,3.5,300.456,4.33
2023-02-28 00:00:00,82.67,176.8,7.45,3.6,301.476,4.57
2023-03-31 00:00:00,82.1825,177.2,7.8,3.5,301.643,4.65
2023-04-30 00:00:00,81.8325,178.1,8.5,3.4,302.858,4.83
2023-05-31 00:00:00,82.7275,179.1,7.7,3.6,303.316,5.06
2023-06-30 00:00:00,82.04,181,,3.6,304.099,5.08
2023-07-31 00:00:00,82.2538,186.3,,3.5,304.615,5.12
2023-08-31 00:00:00,82.785,186.2,,3.7,306.138,5.33
2023-09-30 00:00:00,83.04,184.1,,3.8,307.374,5.33
2023-10-31 00:00:00,83.255,185.3,,3.9,307.653,5.33
2023-11-30 00:00:00,83.395,186.3,,3.7,308.087,5.33
2023-12-31 00:00:00,83.21,185.7,,3.8,308.735,5.33
2024-01-31 00:00:00,83.0412,185.5,,3.7,309.794,5.33
2024-02-29 00:00:00,82.9138,185.8,,3.9,311.022,5.33
2024-03-31 00:00:00,83.4037,185.8,,3.9,312.107,5.33
2024-04-30 00:00:00,83.4362,186.7,,3.9,313.016,5.33
2024-05-31 00:00:00,83.465,187.7,,4,313.14,5.33
2024-06-30 00:00:00,83.3913,190.2,,4.1,313.131,5.33
2024-07-31 00:00:00,83.7275,193,,4.2,313.566,5.33
2024-08-31 00:00:00,83.8712,193,,4.2,314.131,5.33
2024-09-30 00:00:00,83.8013,194.2,,4.1,314.851,5.13
2024-10-31 00:00:00,84.0837,196.8,,4.1,315.564,4.83
2024-11-30 00:00:00,84.4925,196.5,,4.2,316.449,4.64
2024-12-31 00:00:00,85.6087,195.4,,4.1,317.603,4.48
2025-01-31 00:00:00,86.6162,193.4,,4,319.086,4.33
2025-02-28 00:00:00,87.5125,192.5,,4.1,319.775,4.33
2025-03-31 00:00:00,85.4625,192,,4.2,319.615,4.33
2025-04-30 00:00:00,84.495,192.6,,4.2,320.321,4.33
2025-05-31 00:00:00,85.5813,193,,4.2,320.58,4.33
2025-06-30 00:00:00,85.7525,194.2,,4.1,321.5,4.33
2025-07-31 00:00:00,87.6,196.1,,4.2,322.132,4.33
2025-08-31 00:00:00,88.2063,197,,4.3,323.364,4.33
2025-09-30 00:00:00,88.7888,197,,4.4,324.368,4.22
2025-10-31 00:00:00,88.7725,197.3,,,,4.09
2025-11-30 00:00:00,89.4088,,,,,
